yourlist:M2016041565YVM8RPRK	Entry
ABO	A0A0A1TJL0
ABO	A0A0A1TST4
ABO	A0A0A7RCH0
ABO	A0A0A8WK19
ABO	A0A0B5JAH3
ABO	A0A0B5JFG5
ABO	A0A0D3RYQ2
ABO	A0A0F6RA81
ABO	A0A0G3VPC9
ABO	A0A0K0WRU2
ABO	A0A0K2FRI0
ABO	A0A0K2FSH1
ABO	A0A0N7FMT7
ABO	A0A0S1S772
ABO	A0A0S3J407
ABO	A0A0S3J4Y2
ABO	A0A0U2M389
ABO	A0A0U4BH10
ABO	A1EAJ6
ABO	A1Z626
ABO	A5X6H3
ABO	A5X6H4
ABO	A5X6H5
ABO	A5X6H7
ABO	A5X6H8
ABO	A5X6H9
ABO	A8D971
ABO	A8E057
ABO	A8E058
ABO	A9QUS2
ABO	A9UHN3
ABO	A9UHN4
ABO	B0B1U2
ABO	B0FY45
ABO	B0FY46
ABO	B0FY48
ABO	B0FY49
ABO	B0LVD8
ABO	B1AC83
ABO	B2CPK0
ABO	B2CPK1
ABO	B2CW70
ABO	B5LYM4
ABO	B5TRS7
ABO	B6E948
ABO	B6E949
ABO	B8Y570
ABO	C1K0H8
ABO	C3VA42
ABO	C3VA43
ABO	C3VA44
ABO	C3VA45
ABO	C3VA47
ABO	C5J4L4
ABO	C6KD89
ABO	C6KD90
ABO	C6KD91
ABO	C6KD92
ABO	C6KIE4
ABO	C6KIE5
ABO	D3HIC2
ABO	D3HIC3
ABO	D3HIC4
ABO	D3YE67
ABO	D7RNR0
ABO	D8MIB7
ABO	D8MIB8
ABO	E0ZMB5
ABO	E1Y3Y6
ABO	E1Y3Y7
ABO	E3T200
ABO	E3T201
ABO	E3T202
ABO	E3T203
ABO	E3T204
ABO	E3T205
ABO	E3T206
ABO	E3T387
ABO	E3T388
ABO	E3TGR9
ABO	E3TGS0
ABO	E3TGS1
ABO	E5L3Z6
ABO	F0X353
ABO	F0X357
ABO	F0X359
ABO	F0X360
ABO	F0X362
ABO	F0X363
ABO	F0X364
ABO	F2X1S4
ABO	G0V4X4
ABO	G3FEP9
ABO	G3FM75
ABO	G8IIL0
ABO	G9HR99
ABO	H6A2X0
ABO	H6UK81
ABO	H6UK82
ABO	H6UK83
ABO	H6VPB4
ABO	H9XVR5
ABO	I1VEE1
ABO	I1VYG6
ABO	I6SWF8
ABO	I6TS22
ABO	I6U2M5
ABO	I7APP0
ABO	J9XP05
ABO	J9XP21
ABO	J9XT30
ABO	J9XV13
ABO	K4INT6
ABO	K4MMM0
ABO	K4MQF1
ABO	K4MTH0
ABO	M9QZC0
ABO	O14759
ABO	O15512
ABO	P16442
ABO	Q102J2
ABO	Q15951
ABO	Q1L131
ABO	Q207T9
ABO	Q2LFC5
ABO	Q2LFC6
ABO	Q2PJQ0
ABO	Q2PJQ1
ABO	Q2PJQ2
ABO	Q2PJQ3
ABO	Q2VU69
ABO	Q2VU70
ABO	Q3ZMG8
ABO	Q45L90
ABO	Q45L91
ABO	Q4JGX0
ABO	Q4JGX1
ABO	Q4JGX2
ABO	Q4LAQ2
ABO	Q4VVG1
ABO	Q4VY24
ABO	Q538Y8
ABO	Q538Y9
ABO	Q56S51
ABO	Q56S52
ABO	Q56S53
ABO	Q56S55
ABO	Q5VJ25
ABO	Q679L5
ABO	Q67BB2
ABO	Q6IS73
ABO	Q6L635
ABO	Q6L636
ABO	Q6L637
ABO	Q6L638
ABO	Q6L639
ABO	Q6L640
ABO	Q6L641
ABO	Q6L643
ABO	Q6L644
ABO	Q6L645
ABO	Q6L647
ABO	Q6L648
ABO	Q6LCV2
ABO	Q6PNN6
ABO	Q6R5A7
ABO	Q6R5J3
ABO	Q6R675
ABO	Q70V10
ABO	Q70V12
ABO	Q70V13
ABO	Q70V15
